optionsExpire,inTheMoney,optionType,strikePrice,volume,delta,gamma,iv,rho,theta,vega
4,1,PUT,190.0,0,-1.0,0.0,0.892,-1e-05,-0.02293,0.0
4,1,PUT,195.0,0,-1.0,0.0,0.96572,-1e-05,-0.02293,0.0
4,1,PUT,200.0,0,-1.0,0.0,1.03702,-1e-05,-0.02293,0.0
4,1,PUT,205.0,0,-1.0,0.0,1.10608,-1e-05,-0.02293,0.0
4,1,PUT,210.0,0,-1.0,0.0,1.17304,3e-05,-0.02293,0.0
4,1,PUT,215.0,0,-1.0,0.0,1.23805,3e-05,-0.02293,0.0
4,1,PUT,220.0,0,-1.0,0.0,1.30121,3e-05,-0.02293,0.0
4,1,PUT,225.0,0,-1.0,0.0,1.36265,3e-05,-0.02293,0.0
4,1,PUT,230.0,0,-1.0,0.0,1.42246,3e-05,-0.02293,0.0
4,1,PUT,235.0,0,-1.0,0.0,1.48073,3e-05,-0.02293,0.0
4,1,PUT,240.0,0,-1.0,0.0,1.53754,3e-05,-0.02293,0.0
4,1,PUT,245.0,0,-1.0,0.0,1.59295,3e-05,-0.02293,0.0
4,1,PUT,250.0,0,-1.0,0.0,1.64704,3e-05,-0.02293,0.0
3,-1,PUT,50.0,1,0.0,0.0,1.88873,0.0,0.0,0.0
3,-1,PUT,55.0,0,0.0,0.0,1.88873,0.0,0.0,0.0
3,-1,PUT,60.0,0,0.0,0.0,1.88873,0.0,0.0,0.0
3,-1,PUT,65.0,0,0.0,0.0,1.88873,0.0,0.0,0.0
3,-1,PUT,70.0,0,-1e-05,0.0,1.88864,0.0,-4e-05,0.0
3,-1,PUT,75.0,0,-5e-05,1e-05,1.88864,0.0,-0.00025,2e-05
3,-1,PUT,80.0,0,-0.00022,3e-05,1.88873,0.0,-0.00124,0.0001
3,-1,PUT,85.0,0,-0.0008,0.00011,1.88873,-1e-05,-0.00488,0.00035
3,-1,PUT,90.0,2,-0.00088,0.00013,1.69652,-1e-05,-0.00489,0.00038
3,-1,PUT,95.0,1,-0.00099,0.00017,1.51406,-1e-05,-0.00491,0.00043
3,-1,PUT,100.0,15,-0.00113,0.00021,1.34019,-1e-05,-0.00494,0.00048
3,-1,PUT,105.0,27,-0.00129,0.00027,1.17376,-1e-05,-0.00497,0.00055
3,-1,PUT,109.0,7,-0.00145,0.00034,1.04542,-2e-05,-0.005,0.00061
3,-1,PUT,110.0,88,-0.00358,0.00072,1.12463,-4e-05,-0.01408,0.00139
3,-1,PUT,111.0,10,-0.00382,0.00079,1.09048,-4e-05,-0.01459,0.00148
3,-1,PUT,112.0,0,-0.00395,0.00084,1.05658,-5e-05,-0.0146,0.00152
3,-1,PUT,113.0,14,-0.00408,0.00089,1.02288,-5e-05,-0.01463,0.00157
3,-1,PUT,114.0,8,-0.00422,0.00095,0.9894,-5e-05,-0.01465,0.00162
3,-1,PUT,115.0,215,-0.00437,0.00102,0.95614,-5e-05,-0.01468,0.00167
3,-1,PUT,116.0,10,-0.00448,0.00108,0.92312,-5e-05,-0.01452,0.00171
3,-1,PUT,117.0,3,-0.00464,0.00115,0.89027,-5e-05,-0.01454,0.00177
3,-1,PUT,118.0,41,-0.0048,0.00123,0.85759,-5e-05,-0.0145,0.00182
3,-1,PUT,119.0,102,-0.00508,0.00135,0.82512,-6e-05,-0.0148,0.00192
3,-1,PUT,120.0,473,-0.00652,0.0017,0.81883,-7e-05,-0.01907,0.0024
3,-1,PUT,121.0,37,-0.00678,0.00183,0.78558,-8e-05,-0.01905,0.00249
3,-1,PUT,122.0,112,-0.00837,0.00224,0.77283,-0.0001,-0.02334,0.00299
3,-1,PUT,123.0,217,-0.0113,0.00292,0.77123,-0.00013,-0.03179,0.00389
3,-1,PUT,124.0,42,-0.01182,0.00318,0.73676,-0.00014,-0.03181,0.00405
3,-1,PUT,125.0,1316,-0.01745,0.00438,0.74751,-0.0002,-0.04816,0.00566
3,-1,PUT,126.0,223,-0.01832,0.0048,0.71162,-0.00021,-0.04813,0.0059
3,-1,PUT,127.0,518,-0.02407,0.00607,0.70841,-0.00028,-0.06321,0.00745
3,-1,PUT,128.0,405,-0.02663,0.00691,0.6781,-0.00031,-0.06693,0.00811
3,-1,PUT,129.0,691,-0.034,0.00855,0.67102,-0.00039,-0.08449,0.00992
3,-1,PUT,130.0,2716,-0.04262,0.01042,0.66201,-0.00049,-0.10413,0.01192
3,-1,PUT,131.0,1245,-0.05269,0.01256,0.65123,-0.00061,-0.12576,0.01414
3,-1,PUT,132.0,634,-0.06581,0.01513,0.64366,-0.00076,-0.15356,0.01681
3,-1,PUT,133.0,932,-0.08298,0.01816,0.64062,-0.00095,-0.18952,0.02006
3,-1,PUT,134.0,1471,-0.10462,0.02152,0.64147,-0.0012,-0.23375,0.02381
3,-1,PUT,135.0,6120,-0.12776,0.02501,0.63644,-0.00146,-0.27573,0.0274
3,-1,PUT,136.0,2262,-0.15502,0.02868,0.63286,-0.00177,-0.3218,0.03123
3,-1,PUT,137.0,6726,-0.18686,0.03238,0.63197,-0.00213,-0.37199,0.0352
3,-1,PUT,138.0,3232,-0.22265,0.03593,0.63232,-0.00253,-0.42291,0.03904
3,-1,PUT,139.0,2441,-0.26175,0.03922,0.63258,-0.00296,-0.47109,0.0426
