optionsExpire,inTheMoney,optionType,strikePrice,volume,delta,gamma,iv,rho,theta,vega
4,y,CALL,105.0,9,0.9956,0.0003,2.0793,0.0142,-0.041,0.0024
4,y,CALL,110.0,8,0.9971,0.0003,1.7955,0.0146,-0.0229,0.0017
4,y,CALL,115.0,1,0.9949,0.0004,1.76,0.015,-0.0404,0.0028
4,y,CALL,120.0,0,0.9945,0.0005,1.6098,0.0153,-0.0401,0.003
4,y,CALL,125.0,5,0.994,0.0006,1.4651,0.0157,-0.0398,0.0032
4,y,CALL,130.0,0,0.9852,0.0013,1.5206,0.0159,-0.1016,0.0071
4,y,CALL,135.0,2,0.9879,0.0013,1.2948,0.0163,-0.0707,0.006
4,y,CALL,140.0,78,0.9865,0.0016,1.1542,0.0167,-0.0698,0.0066
4,y,CALL,141.0,1,0.9794,0.0021,1.2215,0.0166,-0.1126,0.0094
4,y,CALL,142.0,0,0.9859,0.0017,1.0989,0.0168,-0.0694,0.0068
4,y,CALL,143.0,0,0.9763,0.0025,1.1878,0.0167,-0.1253,0.0106
4,y,CALL,144.0,0,0.988,0.0016,1.005,0.017,-0.0539,0.0059
4,y,CALL,145.0,45,0.9849,0.002,1.0171,0.017,-0.0688,0.0073
4,y,CALL,146.0,0,0.9874,0.0018,0.9524,0.0171,-0.0535,0.0062
4,y,CALL,147.0,0,0.9871,0.0019,0.9263,0.0172,-0.0534,0.0063
4,y,CALL,148.0,4,0.9868,0.002,0.9003,0.0173,-0.0532,0.0065
4,y,CALL,149.0,13,0.9864,0.0021,0.8744,0.0173,-0.053,0.0066
4,y,CALL,150.0,75,0.9861,0.0022,0.8486,0.0174,-0.0528,0.0068
4,y,CALL,152.5,16,0.9518,0.005,1.0381,0.0169,-0.2142,0.0191
4,y,CALL,155.0,152,0.9705,0.0043,0.8212,0.0175,-0.1062,0.0128
4,y,CALL,157.5,60,0.9243,0.0075,-9999999.0,0.0167,-0.3055,0.0272
4,y,CALL,160.0,1459,0.9765,0.0046,0.6216,0.0179,-0.0643,0.0107
4,y,CALL,162.5,62,0.9453,0.0085,0.6817,0.0175,-0.1573,0.0213
