optionsExpire,inTheMoney,optionType,strikePrice,volume,delta,gamma,iv,rho,theta,vega
4,n,PUT,105.0,0,-0.0006,0.0001,1.6629,0.0,-0.0043,0.0004
4,n,PUT,110.0,0,-0.0007,0.0001,1.5297,0.0,-0.0043,0.0004
4,n,PUT,115.0,0,-0.0007,0.0001,1.4022,0.0,-0.0043,0.0005
4,n,PUT,120.0,0,-0.0008,0.0001,1.2797,0.0,-0.0043,0.0005
4,n,PUT,125.0,1,-0.0009,0.0001,1.1617,0.0,-0.0043,0.0006
4,n,PUT,130.0,5,-0.001,0.0002,1.0479,0.0,-0.0043,0.0006
4,n,PUT,135.0,2208,-0.0011,0.0002,0.9378,0.0,-0.0042,0.0007
4,n,PUT,140.0,393,-0.0012,0.0002,0.831,0.0,-0.0042,0.0008
4,n,PUT,141.0,40,-0.0012,0.0003,0.8101,0.0,-0.0042,0.0008
4,n,PUT,142.0,557,-0.0012,0.0003,0.7892,0.0,-0.0042,0.0008
4,n,PUT,143.0,253,-0.0013,0.0003,0.7685,0.0,-0.0042,0.0008
4,n,PUT,144.0,634,-0.0013,0.0003,0.7478,0.0,-0.0042,0.0008
4,n,PUT,145.0,669,-0.0013,0.0003,0.7273,0.0,-0.0042,0.0008
4,n,PUT,146.0,522,-0.0014,0.0003,0.7069,0.0,-0.0042,0.0009
4,n,PUT,147.0,232,-0.0035,0.0007,0.7614,-0.0001,-0.0118,0.002
4,n,PUT,148.0,749,-0.0036,0.0008,0.7393,-0.0001,-0.0118,0.0021
4,n,PUT,149.0,529,-0.0037,0.0008,0.7173,-0.0001,-0.0117,0.0021
4,n,PUT,150.0,236,-0.0038,0.0008,0.6954,-0.0001,-0.0117,0.0022
4,n,PUT,152.5,192,-0.0041,0.001,0.6412,-0.0001,-0.0117,0.0023
4,n,PUT,155.0,2348,-0.0045,0.0012,0.5874,-0.0001,-0.0116,0.0025
4,n,PUT,157.5,711,-0.0084,0.0021,0.5786,-0.0002,-0.0217,0.0044
4,n,PUT,160.0,1158,-0.0104,0.0027,0.5324,-0.0002,-0.0248,0.0054
4,n,PUT,162.5,957,-0.014,0.0038,0.4917,-0.0003,-0.0306,0.007
4,n,PUT,165.0,3515,-0.0182,0.0052,0.4461,-0.0004,-0.036,0.0087
4,n,PUT,167.5,3776,-0.026,0.0078,0.4057,-0.0005,-0.0463,0.0118
4,n,PUT,170.0,10510,-0.0357,0.0114,0.358,-0.0007,-0.0552,0.0154
4,n,PUT,172.5,8612,-0.0604,0.0191,0.3259,-0.0012,-0.0818,0.0233
4,n,PUT,175.0,49992,-0.1061,0.0324,0.2951,-0.0021,-0.1213,0.0356
4,n,PUT,177.5,49724,-0.1988,0.0528,0.2755,-0.0038,-0.1847,0.0537
4,n,PUT,180.0,73232,-0.3509,0.0739,0.2617,-0.0066,-0.2443,0.0709
4,y,PUT,182.5,20291,-0.5489,0.0828,0.2497,-0.01,-0.2515,0.0756
4,y,PUT,185.0,3492,-0.7377,0.0679,0.2508,-0.0127,-0.2011,0.0626
4,y,PUT,187.5,179,-0.9093,0.0398,0.2158,-0.0131,-0.0779,0.0321
4,y,PUT,190.0,746,-0.9348,0.0245,0.273,-0.0129,-0.0737,0.0249
4,y,PUT,192.5,124,-0.8534,0.0239,-9999999.0,-0.0142,-0.2661,0.044
4,y,PUT,195.0,25,-0.9411,0.0147,-9999999.0,-0.0134,-0.1024,0.0228
4,y,PUT,197.5,2,-0.9829,0.0062,0.3692,-0.0101,-0.0288,0.0084
4,y,PUT,200.0,6,-0.952,0.0098,-9999999.0,-0.0134,-0.1081,0.0192
4,y,PUT,202.5,0,-0.9643,0.0074,-9999999.0,-0.0129,-0.0856,0.0151
4,y,PUT,205.0,1,-0.9589,0.0072,-9999999.0,-0.0135,-0.1123,0.0169
4,y,PUT,210.0,0,-0.9709,0.0049,-9999999.0,-0.013,-0.0893,0.0127
4,y,PUT,215.0,0,-0.9738,0.004,-9999999.0,-0.013,-0.0912,0.0116
4,y,PUT,220.0,19,-0.9761,0.0033,-9999999.0,-0.0131,-0.0928,0.0107
4,y,PUT,225.0,20,-0.9779,0.0028,-9999999.0,-0.0132,-0.0942,0.01
4,y,PUT,230.0,0,-0.9794,0.0025,-9999999.0,-0.0133,-0.0954,0.0094
4,y,PUT,235.0,0,-0.9756,0.0025,-9999999.0,-0.0141,-0.1256,0.0108
4,y,PUT,240.0,1,-0.9817,0.0019,-9999999.0,-0.0135,-0.0973,0.0085
4,y,PUT,245.0,0,-0.978,0.002,-9999999.0,-0.0143,-0.1282,0.0099
4,y,PUT,250.0,0,-0.9834,0.0016,-9999999.0,-0.0137,-0.099,0.0078
3,n,PUT,105.0,1,-0.0006,0.0001,1.8801,0.0,-0.0047,0.0003
3,n,PUT,110.0,0,-0.0007,0.0001,1.7263,0.0,-0.0047,0.0004
3,n,PUT,115.0,0,-0.0007,0.0001,1.5789,0.0,-0.0047,0.0004
3,n,PUT,120.0,0,-0.0008,0.0001,1.4373,0.0,-0.0047,0.0004
3,n,PUT,125.0,0,-0.0009,0.0001,1.3009,0.0,-0.0047,0.0005
3,n,PUT,130.0,0,-0.001,0.0002,1.1692,0.0,-0.0047,0.0005
3,n,PUT,135.0,372,-0.0011,0.0002,1.0419,0.0,-0.0047,0.0006
3,n,PUT,140.0,35,-0.0012,0.0003,0.9183,0.0,-0.0047,0.0007
3,n,PUT,141.0,0,-0.0013,0.0003,0.894,0.0,-0.0047,0.0007
3,n,PUT,142.0,1,-0.0013,0.0003,0.8699,0.0,-0.0047,0.0007
3,n,PUT,143.0,0,-0.0013,0.0003,0.8459,0.0,-0.0047,0.0007
3,n,PUT,144.0,0,-0.0014,0.0003,0.822,0.0,-0.0047,0.0007
3,n,PUT,145.0,128,-0.0014,0.0004,0.7982,0.0,-0.0047,0.0008
3,n,PUT,146.0,17,-0.0015,0.0004,0.7746,0.0,-0.0046,0.0008
3,n,PUT,147.0,40,-0.0015,0.0004,0.7511,0.0,-0.0046,0.0008
3,n,PUT,148.0,24,-0.0016,0.0004,0.7276,0.0,-0.0046,0.0008
